Timestamp,Caller,Directory,Script,ElapsedSeconds
2025-04-24 16:07:05,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR.R,19
2025-04-24 16:07:47,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR_plot.R,42
2025-04-24 16:08:21,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR.R,34
2025-04-24 16:08:59,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR_plot.R,38
2025-04-24 16:09:25,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR.R,26
2025-04-24 16:10:06,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR_plot.R,41
2025-04-24 16:10:29,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR.R,23
2025-04-24 16:11:11,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR_plot.R,42
2025-04-24 16:11:30,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR.R,18
2025-04-24 16:12:10,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_50,S4BR_plot.R,40
2025-04-24 16:12:45,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR.R,35
2025-04-24 16:13:28,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR_plot.R,43
2025-04-24 16:14:02,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR.R,34
2025-04-24 16:14:41,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR_plot.R,39
2025-04-24 16:15:07,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR.R,25
2025-04-24 16:15:47,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR_plot.R,40
2025-04-24 16:16:09,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR.R,22
2025-04-24 16:16:50,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR_plot.R,41
2025-04-24 16:17:10,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR.R,20
2025-04-24 16:17:50,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_75,S4BR_plot.R,40
2025-04-24 16:18:23,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR.R,33
2025-04-24 16:19:02,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR_plot.R,39
2025-04-24 16:19:16,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR.R,14
2025-04-24 16:19:51,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR_plot.R,35
2025-04-24 16:20:15,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR.R,24
2025-04-24 16:20:54,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR_plot.R,39
2025-04-24 16:21:17,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR.R,23
2025-04-24 16:21:58,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR_plot.R,41
2025-04-24 16:22:17,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR.R,19
2025-04-24 16:22:57,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_100,S4BR_plot.R,40
2025-04-24 16:23:28,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR.R,31
2025-04-24 16:24:10,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR_plot.R,42
2025-04-24 16:24:43,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR.R,33
2025-04-24 16:25:19,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR_plot.R,36
2025-04-24 16:25:43,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR.R,24
2025-04-24 16:26:23,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR_plot.R,40
2025-04-24 16:26:44,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR.R,21
2025-04-24 16:27:24,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR_plot.R,40
2025-04-24 16:27:43,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR.R,19
2025-04-24 16:28:23,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/read_length/1000_300,S4BR_plot.R,40
2025-04-24 16:28:39,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR.R,16
2025-04-24 16:29:15,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR_plot.R,36
2025-04-24 16:29:40,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR.R,25
2025-04-24 16:30:12,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR_plot.R,32
2025-04-24 16:30:35,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR.R,23
2025-04-24 16:31:12,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR_plot.R,37
2025-04-24 16:31:33,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR.R,21
